"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.206,0,0.36456,-1.1354,-0.76019,-0.93323,0.0021255,0,0,-0.26281,0.22496,0,0.0055264,0,0,1.0225,-0.0023081,0,1.0225,-0.76018,-1.1354,-0.93323,89.675,-0.94294,0.32529,-0.00023675,0.64,0,0
0.20035,0,0.34406,-1.1377,-0.73388,-0.90555,0.0018707,0,0,-0.30185,0.22317,0,0.0048637,0,0,1.0266,-0.0017785,0,1.0266,-0.73387,-1.1378,-0.90555,89.735,-0.92572,0.35108,-0.00056901,0.66,0,0
0.19393,0,0.32349,-1.1388,-0.70903,-0.87786,0.0016231,0,0,-0.33929,0.21948,0,0.00422,0,0,1.0296,-0.0012615,0,1.0296,-0.70902,-1.1388,-0.87786,89.784,-0.90858,0.37509,-0.00097883,0.68,0,0
0.18678,0,0.30288,-1.1388,-0.68543,-0.85015,0.0013784,0,0,-0.37528,0.21414,0,0.0035839,0,0,1.0316,-0.00075541,0,1.0316,-0.68542,-1.1388,-0.85015,89.826,-0.89147,0.39753,-0.0014601,0.7,0,0
0.17892,0,0.28223,-1.1378,-0.66285,-0.82242,0.0011315,0,0,-0.40998,0.20744,0,0.0029418,0,0,1.0327,-0.00025403,0,1.0327,-0.66285,-1.1378,-0.82242,89.864,-0.87435,0.41863,-0.0020064,0.72,0,0
0.17038,0,0.26157,-1.1358,-0.64104,-0.79463,0.00087861,0,0,-0.44357,0.19968,0,0.0022844,0,0,1.0327,0.00025043,0,1.0327,-0.64104,-1.1359,-0.79463,89.898,-0.85717,0.43867,-0.0026117,0.74,0,0
0.16118,0,0.24092,-1.1331,-0.61973,-0.76677,0.00061997,0,0,-0.47623,0.19115,0,0.0016119,0,0,1.0316,0.00076466,0,1.0316,-0.61973,-1.1331,-0.76677,89.931,-0.83987,0.45792,-0.0032717,0.76,0,0
0.15133,0,0.22031,-1.1297,-0.59864,-0.73881,0.0003609,0,0,-0.50818,0.18222,0,0.00093834,0,0,1.0296,0.0012914,0,1.0296,-0.59864,-1.1297,-0.73881,89.961,-0.82239,0.47671,-0.0039849,0.78,0,0
0.14085,0,0.19974,-1.1259,-0.57744,-0.71073,0.00011263,0,0,-0.53966,0.17327,0,0.00029283,0,0,1.0265,0.0018259,0,1.0265,-0.57744,-1.1259,-0.71073,89.988,-0.80468,0.4954,-0.0047539,0.8,0,0
0.12974,0,0.17925,-1.1217,-0.55577,-0.68249,-0.00010839,0,0,-0.57099,0.16474,0,-0.00028182,0,0,1.0223,0.002352,0,1.0223,-0.55577,-1.1217,-0.68249,-89.989,-0.78666,0.51443,-0.0055874,0.82,0,0
