"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.0142359,0.0094063,0.0250443,7.99588e-05,0.00753728,0.00016818,0,0,0.0455183,-0.019389,0,0.000874537,0,0,0,0.0250454,7.88259e-05,0.00753728,0.385968,0.0108872,0.0221979,3.55436e-07,0.26,0.02,0
0.0151428,0.00958743,0.0248901,8.01563e-05,0.00749108,9.80219e-05,0,0,0.0452375,-0.0192684,0,0.000509714,0,0,0,0.0248905,7.9769e-05,0.00749108,0.226366,0.0108204,0.0220595,3.48858e-07,0.28,0.02,0
0.0160454,0.00971979,0.0248068,8.33786e-05,0.00746707,2.64423e-05,0,0,0.0450834,-0.0191976,0,0.0001375,0,0,0,0.0248069,8.33503e-05,0.00746707,0.061279,0.0107858,0.0219823,3.45296e-07,0.3,0.02,0
0.0169461,0.00980544,0.0247946,8.81261e-05,0.00746481,-4.85393e-05,0,0,0.0450574,-0.0191794,0,-0.000252405,0,0,0,0.0247947,8.80307e-05,0.00746481,-0.112565,0.0107825,0.0219677,3.44716e-07,0.32,0.02,0
0.0178477,0.00984668,0.0248546,9.27582e-05,0.00748421,-0.000127528,0,0,0.045163,-0.0192178,0,-0.000663145,0,0,0,0.0248553,9.21014e-05,0.00748421,-0.295073,0.0108105,0.0220183,3.47191e-07,0.34,0.02,0
0.0187526,0.00984632,0.0249882,9.54554e-05,0.00752508,-0.000209615,0,0,0.045404,-0.019317,0,-0.00109,0,0,0,0.0249899,9.36905e-05,0.00752508,-0.482427,0.0108696,0.0221367,3.52847e-07,0.36,0.02,0
0.0196638,0.009808,0.0251949,9.42308e-05,0.00758675,-0.00029223,0,0,0.0457813,-0.0194806,0,-0.0015196,0,0,0,0.0251983,9.0829e-05,0.00758675,-0.666935,0.0109586,0.0223243,3.61806e-07,0.38,0.02,0
0.0205839,0.00973648,0.0254718,8.70286e-05,0.00766766,-0.000371047,0,0,0.0462909,-0.0197096,0,-0.00192945,0,0,0,0.0254773,8.16062e-05,0.00766766,-0.837248,0.0110755,0.0225795,3.74117e-07,0.4,0.02,0
0.0215154,0.00963782,0.0258115,7.19878e-05,0.00776505,-0.000440057,0,0,0.0469208,-0.020002,0,-0.0022883,0,0,0,0.025819,6.44665e-05,0.00776505,-0.979179,0.0112162,0.022897,3.89673e-07,0.42,0.02,0
0.0224607,0.00951955,0.0262014,4.8068e-05,0.00787485,-0.000492025,0,0,0.0476491,-0.0203496,0,-0.00255853,0,0,0,0.0262107,3.88148e-05,0.00787485,-1.0774,0.0113748,0.0232656,4.08123e-07,0.44,0.02,0
0.0234214,0.00939057,0.0266236,1.59676e-05,0.00799187,-0.000519626,0,0,0.0484425,-0.0207373,0,-0.00270205,0,0,0,0.0266337,5.82359e-06,0.00799187,-1.11837,0.0115438,0.0236679,4.28788e-07,0.46,0.02,0
0.0243984,0.00926087,0.0270555,-2.10723e-05,0.00811034,-0.00051726,0,0,0.0492575,-0.0211417,0,-0.00268975,0,0,0,0.0270654,-3.09502e-05,0.00811034,-1.09402,0.0117149,0.024081,4.50633e-07,0.48,0.02,0
0.0253917,0.00914088,0.0274724,-5.75769e-05,0.00822445,-0.000483086,0,0,0.0500447,-0.0215333,0,-0.00251205,0,0,0,0.0274809,-6.60513e-05,0.00822445,-1.00499,0.0118798,0.0244783,4.72341e-07,0.5,0.02,0
0.0264002,0.00904069,0.0278502,-8.77626e-05,0.00832872,-0.000420033,0,0,0.0507558,-0.0218829,0,-0.00218417,0,0,0,0.0278565,-9.40761e-05,0.00832872,-0.861155,0.0120304,0.0248346,4.92483e-07,0.52,0.02,0
0.0274219,0.00896922,0.0281683,-0.000108241,0.00841801,-0.00033494,0,0,0.0513507,-0.0221683,0,-0.00174169,0,0,0,0.0281723,-0.000112208,0.00841801,-0.678551,0.0121594,0.0251297,5.09749e-07,0.54,0.02,0
0.0284542,0.00893352,0.0284116,-0.000119404,0.00848765,-0.000235933,0,0,0.0518022,-0.0223783,0,-0.00122685,0,0,0,0.0284135,-0.000121355,0.00848765,-0.473756,0.0122599,0.0253515,5.23118e-07,0.56,0.02,0
0.029494,0.00893856,0.0285704,-0.000124189,0.00853385,-0.00012981,0,0,0.0520949,-0.0225109,0,-0.00067501,0,0,0,0.028571,-0.000124777,0.00853385,-0.25919,0.0123267,0.0254941,5.31916e-07,0.58,0.02,0
0.030538,0.0089871,0.0286398,-0.000125206,0.00855439,-2.10765e-05,0,0,0.0522222,-0.0225669,0,-0.000109598,0,0,0,0.0286399,-0.000125222,0.00855439,-0.0419812,0.0123563,0.0255557,5.35776e-07,0.6,0.02,0
0.0315829,0.00907981,0.0286191,-0.000122453,0.00854898,8.68242e-05,0,0,0.0521822,-0.0225457,0,0.000451486,0,0,0,0.0286193,-0.000122715,0.00854898,0.173081,0.0123485,0.0255355,5.34577e-07,0.62,0.02,0
0.0326253,0.00921525,0.0285111,-0.000113333,0.00851932,0.000189392,0,0,0.0519785,-0.0224449,0,0.00098484,0,0,0,0.0285123,-0.000114586,0.00851932,0.379074,0.0123057,0.0254339,5.28452e-07,0.64,0.02,0
0.0336621,0.00938981,0.0283236,-9.49636e-05,0.0084686,0.000279865,0,0,0.0516231,-0.0222653,0,0.0014553,0,0,0,0.0283264,-9.77194e-05,0.0084686,0.564174,0.0122324,0.0252551,5.17868e-07,0.66,0.02,0
0.0346902,0.00959777,0.02807,-6.70341e-05,0.00840089,0.00035021,0,0,0.0511397,-0.0220166,0,0.00182109,0,0,0,0.0280744,-7.13923e-05,0.00840089,0.712989,0.0121346,0.0250101,5.03683e-07,0.68,0.02,0
0.0357076,0.00983161,0.0277687,-3.29962e-05,0.0083207,0.000393742,0,0,0.0505647,-0.0217196,0,0.00204746,0,0,0,0.0277743,-3.85715e-05,0.0083207,0.811236,0.0120188,0.0247171,4.87103e-07,0.7,0.02,0
0.0367128,0.0100827,0.0274416,1.36244e-06,0.00823288,0.000407715,0,0,0.0499426,-0.0214019,0,0.00212012,0,0,0,0.0274476,-4.69416e-06,0.00823288,0.851067,0.0118919,0.0243997,4.69507e-07,0.72,0.02,0
0.0377053,0.0103419,0.0271111,3.06185e-05,0.00814252,0.000394132,0,0,0.0493184,-0.021091,0,0.00204949,0,0,0,0.0271169,2.48834e-05,0.00814252,0.833653,0.0117614,0.0240821,4.52208e-07,0.74,0.02,0
0.0386856,0.0106009,0.0267974,5.15866e-05,0.00805469,0.000358715,0,0,0.048731,-0.0208081,0,0.00186532,0,0,0,0.0268022,4.67764e-05,0.00805469,0.768266,0.0116346,0.023785,4.36259e-07,0.76,0.02,0
0.0396546,0.0108521,0.0265157,6.35687e-05,0.00797378,0.000308883,0,0,0.048209,-0.0205666,0,0.00160619,0,0,0,0.0265193,5.99623e-05,0.00797378,0.668925,0.0115177,0.023523,4.22355e-07,0.78,0.02,0
0.0406139,0.0110897,0.0262758,6.75167e-05,0.00790299,0.00025201,0,0,0.0477693,-0.0203722,0,0.00131045,0,0,0,0.0262782,6.50937e-05,0.00790299,0.55087,0.0114154,0.0233046,4.10844e-07,0.8,0.02,0
0.0415654,0.0113091,0.0260819,6.51175e-05,0.00784411,0.000194355,0,0,0.0474183,-0.0202254,0,0.00101065,0,0,0,0.0260834,6.36657e-05,0.00784411,0.427989,0.0113304,0.0231325,4.01788e-07,0.82,0.02,0
