"Displacements","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.8916,0,0,0,0,0,0,0,0,0,0,0,0,0.54089,0.00068001,0,0.54089,0,0,0,45,0,0,0,0.1,0.02,0
0.86998,0,0,0,0,0,0,0,0,0,0,0,0,0.54011,0.00086248,0,0.54012,0,0,0,45,0,0,0,0.12,0.02,0
0.84839,0,0,0,0,0,0,0,0,0,0,0,0,0.53914,0.0010713,0,0.53915,0,0,0,45,0,0,0,0.14,0.02,0
0.82685,0,0,0,0,0,0,0,0,0,0,0,0,0.53795,0.0013116,0,0.53795,0,0,0,45,0,0,0,0.16,0.02,0
0.80536,0,0,0,0,0,0,0,0,0,0,0,0,0.5365,0.0015883,0,0.5365,0,0,0,45,0,0,0,0.18,0.02,0
0.78393,0,0,0,0,0,0,0,0,0,0,0,0,0.53475,0.0019066,0,0.53475,0,0,0,45,0,0,0,0.2,0.02,0
0.76258,0,0,0,0,0,0,0,0,0,0,0,0,0.53265,0.002271,0,0.53266,0,0,0,45,0,0,0,0.22,0.02,0
0.74132,0,0,0,0,0,0,0,0,0,0,0,0,0.53017,0.0026848,0,0.53018,0,0,0,45,0,0,0,0.24,0.02,0
0.72016,0,0,0,0,0,0,0,0,0,0,0,0,0.52725,0.00315,0,0.52726,0,0,0,45,0,0,0,0.26,0.02,0
0.69914,0,0,0,0,0,0,0,0,0,0,0,0,0.52384,0.0036656,0,0.52385,0,0,0,45,0,0,0,0.28,0.02,0
0.67826,0,0,0,0,0,0,0,0,0,0,0,0,0.51989,0.0042271,0,0.51991,0,0,0,45,0,0,0,0.3,0.02,0
0.65755,0,0,0,0,0,0,0,0,0,0,0,0,0.51536,0.0048245,0,0.51539,0,0,0,45,0,0,0,0.32,0.02,0
0.63703,0,0,0,0,0,0,0,0,0,0,0,0,0.51023,0.0054411,0,0.51026,0,0,0,45,0,0,0,0.34,0.02,0
0.61673,0,0,0,0,0,0,0,0,0,0,0,0,0.50448,0.0060524,0,0.50453,0,0,0,45,0,0,0,0.36,0.02,0
0.59667,0,0,0,0,0,0,0,0,0,0,0,0,0.49815,0.0066239,0,0.4982,0,0,0,45,0,0,0,0.38,0.02,0
0.57688,0,0,0,0,0,0,0,0,0,0,0,0,0.49129,0.0071112,0,0.49135,0,0,0,45,0,0,0,0.4,0.02,0
0.55737,0,0,0,0,0,0,0,0,0,0,0,0,0.48401,0.0074606,0,0.48409,0,0,0,45,0,0,0,0.42,0.02,0
0.53815,0,0,0,0,0,0,0,0,0,0,0,0,0.4765,0.0076124,0,0.47657,0,0,0,45,0,0,0,0.44,0.02,0
0.51925,0,0,0,0,0,0,0,0,0,0,0,0,0.46896,0.0075086,0,0.46904,0,0,0,45,0,0,0,0.46,0.02,0
0.50064,0,0,0,0,0,0,0,0,0,0,0,0,0.46168,0.0071031,0,0.46175,0,0,0,45,0,0,0,0.48,0.02,0
0.48231,0,0,0,0,0,0,0,0,0,0,0,0,0.45497,0.0063738,0,0.45503,0,0,0,45,0,0,0,0.5,0.02,0
0.46424,0,0,0,0,0,0,0,0,0,0,0,0,0.44915,0.0053295,0,0.44919,0,0,0,45,0,0,0,0.52,0.02,0
0.44638,0,0,0,0,0,0,0,0,0,0,0,0,0.4445,0.0040113,0,0.44452,0,0,0,45,0,0,0,0.54,0.02,0
0.42868,0,0,0,0,0,0,0,0,0,0,0,0,0.44127,0.0024845,0,0.44127,0,0,0,45,0,0,0,0.56,0.02,0
0.41108,0,0,0,0,0,0,0,0,0,0,0,0,0.43962,0.00082928,0,0.43962,0,0,0,45,0,0,0,0.58,0.02,0
0.39351,0,0,0,0,0,0,0,0,0,0,0,0,0.43964,-0.00086878,0,0.43964,0,0,0,45,0,0,0,0.6,0.02,0
0.37591,0,0,0,0,0,0,0,0,0,0,0,0,0.44132,-0.0025226,0,0.44133,0,0,0,45,0,0,0,0.62,0.02,0
0.3582,0,0,0,0,0,0,0,0,0,0,0,0,0.44459,-0.0040464,0,0.44462,0,0,0,45,0,0,0,0.64,0.02,0
0.34034,0,0,0,0,0,0,0,0,0,0,0,0,0.44928,-0.00536,0,0.44932,0,0,0,45,0,0,0,0.66,0.02,0
0.32226,0,0,0,0,0,0,0,0,0,0,0,0,0.45513,-0.0063974,0,0.45518,0,0,0,45,0,0,0,0.68,0.02,0
0.30393,0,0,0,0,0,0,0,0,0,0,0,0,0.46186,-0.0071171,0,0.46192,0,0,0,45,0,0,0,0.7,0.02,0
0.28531,0,0,0,0,0,0,0,0,0,0,0,0,0.46914,-0.0075093,0,0.46922,0,0,0,45,0,0,0,0.72,0.02,0
0.2664,0,0,0,0,0,0,0,0,0,0,0,0,0.47667,-0.0075952,0,0.47674,0,0,0,45,0,0,0,0.74,0.02,0
0.24718,0,0,0,0,0,0,0,0,0,0,0,0,0.48416,-0.0074194,0,0.48423,0,0,0,45,0,0,0,0.76,0.02,0
0.22767,0,0,0,0,0,0,0,0,0,0,0,0,0.49137,-0.0070383,0,0.49143,0,0,0,45,0,0,0,0.78,0.02,0
0.20787,0,0,0,0,0,0,0,0,0,0,0,0,0.49813,-0.0065095,0,0.49819,0,0,0,45,0,0,0,0.8,0.02,0
0.18782,0,0,0,0,0,0,0,0,0,0,0,0,0.50433,-0.0058849,0,0.50437,0,0,0,45,0,0,0,0.82,0.02,0
0.16753,0,0,0,0,0,0,0,0,0,0,0,0,0.50987,-0.0052067,0,0.5099,0,0,0,45,0,0,0,0.84,0.02,0
0.14703,0,0,0,0,0,0,0,0,0,0,0,0,0.51473,-0.0045067,0,0.51475,0,0,0,45,0,0,0,0.86,0.02,0
0.12635,0,0,0,0,0,0,0,0,0,0,0,0,0.51888,-0.0038073,0,0.5189,0,0,0,45,0,0,0,0.88,0.02,0
0.10551,0,0,0,0,0,0,0,0,0,0,0,0,0.52235,-0.0031225,0,0.52236,0,0,0,45,0,0,0,0.9,0.02,0
0.084558,0,0,0,0,0,0,0,0,0,0,0,0,0.52514,-0.0024593,0,0.52515,0,0,0,45,0,0,0,0.92,0.02,0
0.063504,0,0,0,0,0,0,0,0,0,0,0,0,0.52729,-0.0018193,0,0.52729,0,0,0,45,0,0,0,0.94,0.02,0
0.042376,0,0,0,0,0,0,0,0,0,0,0,0,0.5288,-0.0012,0,0.5288,0,0,0,45,0,0,0,0.96,0.02,0
0.0212,0,0,0,0,0,0,0,0,0,0,0,0,0.5297,-0.00059594,0,0.5297,0,0,0,45,0,0,0,0.98,0.02,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.52999,2.0329e-18,0,0.52999,0,0,0,45,0,0,0,1,0.02,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0.54267,-6.9034e-16,0,0.54267,0,0,0,45,0,0,0,0,0.04,0
0.97829,0,0,0,0,0,0,0,0,0,0,0,0,0.54261,0.00023507,0,0.54261,0,0,0,45,0,0,0,0.02,0.04,0
0.95659,0,0,0,0,0,0,0,0,0,0,0,0,0.54244,0.00047816,0,0.54244,0,0,0,45,0,0,0,0.04,0.04,0
0.9349,0,0,0,0,0,0,0,0,0,0,0,0,0.54214,0.00073742,0,0.54214,0,0,0,45,0,0,0,0.06,0.04,0
0.91322,0,0,0,0,0,0,0,0,0,0,0,0,0.54172,0.0010213,0,0.54172,0,0,0,45,0,0,0,0.08,0.04,0
0.89156,0,0,0,0,0,0,0,0,0,0,0,0,0.54114,0.0013386,0,0.54115,0,0,0,45,0,0,0,0.1,0.04,0
0.86993,0,0,0,0,0,0,0,0,0,0,0,0,0.54041,0.0016987,0,0.54041,0,0,0,45,0,0,0,0.12,0.04,0
0.84833,0,0,0,0,0,0,0,0,0,0,0,0,0.53948,0.0021112,0,0.53949,0,0,0,45,0,0,0,0.14,0.04,0
0.82677,0,0,0,0,0,0,0,0,0,0,0,0,0.53834,0.0025865,0,0.53834,0,0,0,45,0,0,0,0.16,0.04,0
0.80526,0,0,0,0,0,0,0,0,0,0,0,0,0.53694,0.003135,0,0.53695,0,0,0,45,0,0,0,0.18,0.04,0
0.78381,0,0,0,0,0,0,0,0,0,0,0,0,0.53526,0.003767,0,0.53527,0,0,0,45,0,0,0,0.2,0.04,0
